"","Column1","Column2","Column3","Column4","Column5","predictKNN"
"1",0,1,1,1,1,1
"2",-1,3,-1,1,-4,-3
"3",-5,1,-2,2,-3,-3
"4",-2,-5,4,3,-7,-7
"5",-3,4,1,1,1,1
"6",-4,5,1,2,0,0
"7",-3,-5,-1,1,2,1
"8",3,2,4,3,3,3
"9",-3,0,3,3,-1,-1
"11",0,2,-3,2,-3,-3
"12",0,-5,4,2,-10,-10
"13",2,-4,-1,1,6,6
"14",2,3,-3,2,-3,-3
"15",-1,-2,1,1,-3,-3
"16",-4,5,-2,1,-14,-14
"17",-3,-1,1,3,-1,-1
"18",-2,2,-2,3,-2,-2
"19",-2,0,4,3,0,0
"20",-3,-5,4,2,-11,-11
"21",4,3,4,3,5,5
"22",3,1,-1,2,1,0
"23",2,-5,0,2,1,1
"24",4,3,1,1,7,7
"25",-2,3,-2,2,-4,-4
"27",-3,0,-2,2,-1,-1
"28",-3,-3,0,3,-1,-1
"29",-1,-1,3,1,-4,-4
"30",0,4,2,3,2,2
"31",3,2,-2,2,0,0
"32",4,5,4,2,12,11
"33",-3,-4,-2,1,5,5
"34",-2,2,-2,2,-3,-3
"35",-2,0,2,2,-1,-1
"36",2,-3,-2,3,2,2
"37",-4,-4,1,3,-2,-2
"38",1,-2,4,1,-7,-7
"39",-5,4,0,3,-1,-1
"40",2,-4,1,2,-1,-1
"42",-5,4,-3,2,-8,-7
"44",4,5,4,3,8,7
"45",-1,-5,-3,3,4,4
"46",-4,4,4,2,6,6
"47",-1,1,-2,2,-1,-1
"48",-3,2,1,3,0,0
"49",-5,2,-3,3,-3,-3
"50",1,-3,-1,2,2,2
"51",1,4,3,1,13,12
"52",2,0,1,2,1,1
"53",1,-5,-3,1,16,16
"54",4,-1,1,2,1,1
"55",3,0,-3,1,3,3
"56",4,3,-1,3,0,0
"57",-1,0,0,2,0,0
"58",-5,0,-1,3,-1,-1
"59",-1,3,3,2,4,4
"61",0,1,1,3,0,0
"62",-1,-3,-3,2,4,4
"63",-5,-5,1,3,-3,-3
"64",-5,-2,2,2,-4,-4
"65",0,4,2,3,2,2
"66",4,-2,3,3,0,0
"67",-3,3,4,3,3,3
"68",1,-4,2,3,-2,-2
"69",0,1,-3,3,-1,0
"70",0,-1,1,1,-1,-1
"71",-2,1,0,3,0,0
"72",-4,3,2,3,0,0
"73",0,-1,-3,3,1,1
"74",2,3,-3,3,-2,-2
"75",0,-4,-2,2,4,4
"76",-1,3,2,2,2,2
"77",-2,-2,3,1,-8,-8
"78",-3,5,4,1,17,17
"79",-5,0,-3,1,-5,-5
"80",3,-5,-1,2,4,3
"81",-5,-1,-3,2,-1,0
"82",-1,4,2,2,3,3
"83",-1,0,4,1,-1,-1
"84",-2,1,-2,3,-1,-1
"85",-3,-1,0,3,-1,-1
"86",0,-2,4,1,-8,-7
"87",0,4,3,3,4,4
"88",-5,-2,-3,1,1,1
"89",-4,-3,3,3,-4,-4
"90",0,2,-3,3,-2,-2
"91",-4,0,0,3,-1,-1
"92",5,1,-1,2,2,2
"93",4,5,-2,1,-6,-6
"94",2,-3,2,1,-4,-4
"95",-2,-2,4,1,-10,-10
"96",4,-2,4,3,-1,-1
"97",3,1,4,2,3,3
"98",2,4,1,2,3,3
"99",-3,4,1,1,1,1
"100",-5,3,2,1,1,1
"101",5,4,2,3,4,4
"102",-5,1,0,1,-5,-4
"103",2,4,1,1,6,5
"104",-1,-5,-3,1,14,13
"105",0,0,0,1,0,0
"106",3,3,4,1,15,14
"107",0,-5,1,2,-2,-2
"109",-5,-2,-2,2,0,0
"110",-3,4,-1,3,-2,-2
"111",0,-1,2,1,-2,-2
"112",-2,0,3,2,-1,-1
"113",4,-3,-3,3,4,4
"114",4,-1,-3,1,7,7
"115",-5,-3,3,1,-14,-14
"116",2,5,-1,2,-1,-1
"117",2,-3,0,2,1,1
"118",0,3,4,3,4,4
"119",3,0,4,1,3,2
"120",2,1,3,1,5,5
"121",3,3,0,2,1,1
"122",-1,5,-2,2,-5,-5
"123",-3,5,-2,1,-13,-12
"124",-3,-5,4,2,-11,-11
"125",-5,2,4,2,1,1
"126",1,-2,-2,1,5,5
"127",-5,5,0,1,-5,-5
"128",-4,0,1,1,-4,-4
"129",4,5,1,2,4,4
"130",-2,-2,4,2,-5,-5
"131",-2,1,2,1,0,0
"132",2,1,3,2,2,2
"133",5,-4,3,3,-2,-2
"134",-1,-1,1,3,0,0
"135",-5,0,1,3,-1,-1
"136",4,5,-3,1,-11,-10
"137",3,1,2,3,1,1
"138",-5,-3,-2,1,1,1
"139",-5,2,-2,3,-3,-3
"140",4,3,-1,3,0,0
"141",2,4,4,2,9,9
"142",-3,3,-1,2,-3,-3
"143",3,-2,3,1,-3,-3
"144",-5,3,1,1,-2,-1
"146",-3,4,3,1,9,9
"147",-1,4,0,3,0,0
"148",3,-3,-1,1,6,6
"149",-2,-4,2,3,-3,-3
"150",-5,-4,0,3,-1,-1
"151",-2,4,4,2,7,7
"152",2,4,1,2,3,3
"153",-4,-5,1,3,-3,-3
"154",-4,2,0,3,-1,-1
"155",3,4,4,3,6,6
"156",-4,3,4,3,2,2
"157",-5,1,2,1,-3,-3
"158",-3,-1,4,1,-7,-6
"159",-2,0,3,2,-1,-1
"160",-4,5,1,2,0,0
"161",-4,-4,4,1,-20,-20
"162",-5,3,-3,2,-7,-6
"163",-5,0,0,3,-1,-1
"164",-4,-2,-3,1,2,2
"165",1,1,-1,3,0,0
"166",-3,-3,1,1,-6,-6
"167",-2,-5,4,1,-22,-22
"168",2,1,-1,2,0,0
"169",1,-5,-1,3,2,2
"170",-5,3,4,-50,2,4
"171",-4,-5,1,2,-4,-4
"173",5,5,-2,3,-1,-1
"174",-1,-5,-1,3,1,0
"175",5,1,0,1,5,5
"176",-4,3,0,1,-4,-4
"177",3,-2,-1,2,2,2
"178",-4,1,-1,3,-1,-1
"179",2,0,-1,2,1,1
"180",-5,2,2,2,0,0
"181",5,-5,4,3,-5,-5
"182",1,4,0,3,0,0
"183",-1,-3,-3,2,4,4
"184",4,2,-3,1,-2,-2
"185",1,-1,-1,2,1,0
"186",0,1,4,1,4,3
"187",-4,-1,4,2,-4,-4
"188",-1,-4,2,2,-4,-4
"189",2,-3,-3,3,3,3
"190",4,-2,-1,3,2,2
"191",-5,2,0,2,-2,-2
"192",-5,-4,4,3,-7,-7
"193",2,4,1,1,6,5
"195",-3,-3,-2,2,1,1
"196",0,-1,-3,2,1,1
"197",4,5,0,-50,1,0
"198",-5,-5,3,2,-10,-9
"199",2,-1,2,1,0,0
"200",-2,0,-1,2,-1,-1
"201",1,2,2,1,5,5
"202",-2,-2,-3,3,1,1
"203",-5,2,1,3,-1,-1
"204",1,0,-2,1,1,1
"205",-5,3,0,2,-2,-2
"206",4,3,0,2,2,2
"207",-5,-4,-1,2,0,0
"208",5,-5,-3,1,20,19
"209",2,4,-2,3,-2,-1
"210",0,-1,1,3,0,0
"211",1,-3,-1,2,2,2
"212",3,-5,-3,1,18,17
"213",1,5,1,3,2,2
"214",0,3,3,3,3,3
"215",-1,3,4,2,5,5
"216",4,3,3,3,4,4
"217",4,-4,4,1,-12,-12
"218",-1,3,-2,3,-2,-2
"219",2,2,-1,2,0,0
"221",-5,2,4,1,3,3
"222",2,-4,-2,1,10,9
"224",0,4,2,2,4,4
"225",0,-3,1,3,-1,0
"226",3,3,-1,1,0,0
"227",-5,5,2,1,5,5
"228",-1,-3,4,2,-6,-6
"229",-3,-5,-2,2,3,3
"230",1,1,-1,1,0,0
"231",-2,5,1,1,3,3
"232",0,1,-1,1,-1,-1
"233",4,0,3,3,1,1
"234",3,-5,-1,2,4,3
"235",-1,-5,-2,1,9,9
"236",4,1,2,2,3,3
"237",-2,-4,-2,2,3,2
"238",4,0,0,2,2,2
"239",5,-4,2,3,-1,-1
"240",2,5,1,1,7,7
"241",2,4,-2,1,-6,-6
"242",2,-1,0,1,2,2
"243",3,-1,-1,1,4,4
"244",-4,-2,1,1,-6,-6
"245",1,-1,4,1,-3,-3
"246",-3,-4,-1,3,0,0
"247",0,-1,1,2,0,0
"248",0,2,-3,2,-3,-3
"249",4,-1,-1,2,2,2
"250",1,-1,-2,2,1,1
"251",-1,0,2,2,0,0
"252",-2,-3,-3,3,2,2
"253",-4,2,0,1,-4,-4
"254",0,-2,1,3,0,0
"255",2,-1,-3,1,5,5
"256",5,-3,-1,1,8,8
"257",4,-4,-1,1,8,8
